algorithm,phase,size_value,input_label,input_size_bytes,mean_time_s,std_time_s,mean_peak_memory_bytes,mean_ciphertext_bytes,throughput_bytes_per_s,expansion_ratio
ElGamal,encrypt,1024,audio_200KB,20480,0.9351374334000013,0.006393460532159021,60920.4,41470.2,21900.524210156134,2.0249121093749998
ElGamal,decrypt,1024,audio_200KB,20480,0.5773424124999998,0.005100293816842821,34012,,35472.88326059019,
ElGamal,encrypt,1024,video_1MB,20480,0.9316842125000008,0.005822391003411916,60915.2,41470.4,21981.69693682556,2.024921875
ElGamal,decrypt,1024,video_1MB,20480,0.576400304100001,0.006921217441148731,34011.6,,35530.86258685748,
ElGamal,keygen,2048,-,0,0.015703833599998517,5.779017875957077e-05,2736,,,
ElGamal,encrypt,2048,text_1KB,1024,0.17391180840000117,0.0008534675786799187,14596.4,2560,5888.041815106519,2.5
ElGamal,decrypt,2048,text_1KB,1024,0.1002254705999988,0.00033179394311109057,12496,,10216.96375053002,
ElGamal,encrypt,2048,image_50KB,20480,2.8407866793000025,0.009316534938719097,60908,41471.3,7209.270639443604,2.0249658203125
ElGamal,decrypt,2048,image_50KB,20480,1.6422113040999988,0.008236130542215352,35999.6,,12470.98954249612,
ElGamal,encrypt,2048,audio_200KB,20480,2.8372350582999957,0.010985399972353229,60914,41471,7218.295128592952,2.024951171875
ElGamal,decrypt,2048,audio_200KB,20480,1.6412982290000002,0.009458711429872733,36000,,12477.927312745549,
ElGamal,encrypt,2048,video_1MB,20480,2.8331514290999964,0.02247742466458178,60911.6,41471.1,7228.699387418856,2.0249560546875
ElGamal,decrypt,2048,video_1MB,20480,1.6287362793,0.011332318377784324,36000,,12574.165787479062,
ECC/ECDH,keygen,SECP192R1,-,0,0.0007396998000018584,0.00010502980446732258,181.1,,,
ECC/ECDH,key_exchange,SECP192R1,-,0,0.0006884541000061972,3.298757279276681e-05,222,,,
ECC/ECDH,keygen,SECP256R1,-,0,0.0003234083000023702,0.0008344124250992347,137.6,,,
ECC/ECDH,key_exchange,SECP256R1,-,0,8.356259999686699e-05,7.366543331619153e-06,234,,,
ECC/ECDH,keygen,SECP384R1,-,0,0.0008159831999989819,2.4607517789355368e-05,137.6,,,
ECC/ECDH,key_exchange,SECP384R1,-,0,0.0022215375000058657,0.0001016717183371681,266,,,
ECC/ECDH,keygen,SECP521R1,-,0,0.0005255541000025232,2.057533595143823e-05,137.6,,,
ECC/ECDH,key_exchange,SECP521R1,-,0,0.0010465916000043762,2.121017807697898e-05,302,,,
