algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,output_bytes
SHA-256,hash,input_size,8388608,8MB_video,8388608,3,0.002964041999999889,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,4,0.0029858330000003264,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,5,0.0028794169999999397,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,6,0.002810832999999846,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,7,0.0027757909999999164,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,8,0.002785666999999936,121,32
SHA-256,hash,input_size,8388608,8MB_video,8388608,9,0.0027282909999999383,121,32
SHA-512,hash,input_size,500,500B_text,500,0,3.458999999761403e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,1,1.415999999920814e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,2,1.3340000002415309e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,3,1.3330000001587905e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,4,1.3330000001587905e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,5,1.2919999998750598e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,6,1.292000000319149e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,7,4.917000000048688e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,8,1.3749999996370832e-06,153,64
SHA-512,hash,input_size,500,500B_text,500,9,1.2499999999526779e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,0,1.8750000001510614e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,1,1.7909999998622084e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,2,1.8329999997845903e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,3,1.7919999999449487e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,4,1.8330000002286795e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,5,1.7909999998622084e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,6,1.7919999999449487e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,7,1.7919999999449487e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,8,1.7919999999449487e-06,153,64
SHA-512,hash,input_size,1024,1KB_textfile,1024,9,1.7909999998622084e-06,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,0,1.1707999999721608e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,1,1.1666999999881966e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,2,1.1666999999881966e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,3,1.1665999999799226e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,4,1.1624999999959584e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,5,1.179200000001046e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,6,1.1666999999881966e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,7,1.1624999999959584e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,8,1.1624999999959584e-05,153,64
SHA-512,hash,input_size,10240,10KB_textfile,10240,9,1.1624999999959584e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,0,5.891700000004718e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,1,5.5334000000240025e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,2,5.7958000000191134e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,3,5.499999999969418e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,4,6.295800000000185e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,5,5.520900000011153e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,6,5.9792000000058465e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,7,5.7750000000300616e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,8,5.487500000000978e-05,153,64
SHA-512,hash,input_size,51200,50KB_binary,51200,9,5.487500000000978e-05,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,0,0.0001089579999997703,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,1,0.00010887500000000827,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,2,0.00010883399999972454,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,3,0.00011362500000000608,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,4,0.00012704199999991062,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,5,0.00012379100000003973,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,6,0.00011475000000027435,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,7,0.00011000000000027654,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,8,0.00011429200000012685,153,64
SHA-512,hash,input_size,102400,100KB_image,102400,9,0.0001121250000002405,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,0,0.001154834000000271,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,1,0.0011300419999997757,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,2,0.0011378330000000325,153,64
