algorithm,phase,size_value,input_label,input_size_bytes,mean_time_s,std_time_s,mean_peak_memory_bytes,mean_output_bytes,throughput_bytes_per_s,expansion_ratio
HMAC-SHA512,mac_verify,8388608,8MB_video,8388608,0.009138837400000276,3.978113356654108e-05,522,,917907566.6670408,
RSA-PSS-SHA256,keygen,2048,-,0,0.07482363770000004,0.03229021963670546,131.2,,,
RSA-PSS-SHA256,sign,2048,500B_text,500,0.001155404000000093,0.0005499821292192749,2043.5,256,432749.0643964879,0.512
RSA-PSS-SHA256,verify,2048,500B_text,500,3.9416800000058315e-05,1.7656167323508813e-05,869.8,,12684946.520246703,
RSA-PSS-SHA256,sign,2048,1KB_textfile,1024,0.0009804500999999633,1.1531342033136787e-05,866,256,1044418.2727912806,0.25
RSA-PSS-SHA256,verify,2048,1KB_textfile,1024,3.3975000000019406e-05,3.166353960168234e-06,853,,30139808.682837825,
RSA-PSS-SHA256,sign,2048,10KB_textfile,10240,0.000984820800000019,1.238520320214475e-05,866,256,10397830.752559045,0.025
RSA-PSS-SHA256,verify,2048,10KB_textfile,10240,3.572499999995316e-05,1.566320018410824e-06,853,,286634009.7974367,
RSA-PSS-SHA256,sign,2048,50KB_binary,51200,0.0011187958999999913,0.00034940873684507785,866,256,45763485.54727489,0.005
RSA-PSS-SHA256,verify,2048,50KB_binary,51200,4.8978900000040684e-05,1.4708796315977273e-06,853,,1045348098.8743616,
RSA-PSS-SHA256,sign,2048,100KB_image,102400,0.001000104300000171,1.8705349374310737e-05,866,256,102389320.7938237,0.0025
RSA-PSS-SHA256,verify,2048,100KB_image,102400,6.809990000018473e-05,2.9480620904218e-06,853,,1503673279.9860532,
RSA-PSS-SHA256,sign,2048,1MB_pdf,1048576,0.0012792499999999762,3.481412472832339e-05,866,256,819680281.4149069,0.000244140625
RSA-PSS-SHA256,verify,2048,1MB_pdf,1048576,0.00037660419999987484,1.4361823120881278e-05,853,,2784291837.425999,
RSA-PSS-SHA256,sign,2048,5MB_video,5242880,0.0026490374000001536,0.00033221025321569813,866,256,1979164205.0805686,4.8828125e-05
RSA-PSS-SHA256,verify,2048,5MB_video,5242880,0.001638487400000166,2.7139259098871575e-05,853,,3199829305.980302,
RSA-PSS-SHA256,sign,2048,8MB_video,8388608,0.003485333499999843,1.8534286774815306e-05,866,256,2406830795.3888426,3.0517578125e-05
RSA-PSS-SHA256,verify,2048,8MB_video,8388608,0.00258480020000027,2.451797151802299e-05,853,,3245360318.3716574,
RSA-PSS-SHA256,keygen,3072,-,0,0.19492058739999987,0.13131305487253878,36,,,
RSA-PSS-SHA256,sign,3072,500B_text,500,0.002637108600000193,0.0007452018830476943,1006.8,384,189601.5962330726,0.768
RSA-PSS-SHA256,verify,3072,500B_text,500,6.462500000017357e-05,2.2062354126600785e-05,853,,7736943.907135894,
RSA-PSS-SHA256,sign,3072,1KB_textfile,1024,0.002386183200000147,1.5480659319227897e-05,994,384,429137.2095822051,0.375
RSA-PSS-SHA256,verify,3072,1KB_textfile,1024,5.362079999988722e-05,2.883421571693368e-06,853,,19097066.809934832,
RSA-PSS-SHA256,sign,3072,10KB_textfile,10240,0.0023923166999999523,9.529757699215141e-06,994,384,4280369.735328188,0.0375
RSA-PSS-SHA256,verify,3072,10KB_textfile,10240,5.585400000001073e-05,4.236703647919686e-06,853,,183335123.71536565,
RSA-PSS-SHA256,sign,3072,50KB_binary,51200,0.0026457375999999755,0.0007045514386596029,994,384,19351881.305236194,0.0075
RSA-PSS-SHA256,verify,3072,50KB_binary,51200,7.208339999982271e-05,5.67056949874739e-06,853,,710288360.4286969,
RSA-PSS-SHA256,sign,3072,100KB_image,102400,0.002430879200000113,1.1296208707244483e-05,994,384,42124676.536783576,0.00375
RSA-PSS-SHA256,verify,3072,100KB_image,102400,8.903340000001591e-05,1.9564526162473348e-06,853,,1150130175.8663793,
RSA-PSS-SHA256,sign,3072,1MB_pdf,1048576,0.002723674799999998,3.993066050001979e-05,994,384,384985755.27445525,0.0003662109375
RSA-PSS-SHA256,verify,3072,1MB_pdf,1048576,0.00040005000000000737,8.260532004685514e-06,853,,2621112360.9548326,
RSA-PSS-SHA256,sign,3072,5MB_video,5242880,0.004302833399999884,0.0007086268184175529,994,384,1218471530.8754787,7.32421875e-05
RSA-PSS-SHA256,verify,3072,5MB_video,5242880,0.001805216599999948,1.5236733522355582e-05,853,,2904294143.982584,
RSA-PSS-SHA256,sign,3072,8MB_video,8388608,0.005004466699999899,2.1936079859743755e-05,994,384,1676224161.9072356,4.57763671875e-05
RSA-PSS-SHA256,verify,3072,8MB_video,8388608,0.0027839917999998853,2.593780632130334e-05,853,,3013158300.250865,
RSA-PSS-SHA256,keygen,4096,-,0,0.49268600439999977,0.21049835627489139,48,,,
RSA-PSS-SHA256,sign,4096,500B_text,500,0.005024816599999937,0.001278008764658064,1134.8,512,99506.11928801665,1.024
RSA-PSS-SHA256,verify,4096,500B_text,500,8.797519999994562e-05,3.614281262665701e-05,853,,5683419.872876777,
RSA-PSS-SHA256,sign,4096,1KB_textfile,1024,0.004571708199999769,2.8783058002210194e-05,1122,512,223986.299038082,0.5
RSA-PSS-SHA256,verify,4096,1KB_textfile,1024,7.798340000029214e-05,3.253029732444072e-06,853,,13130999.674240464,
RSA-PSS-SHA256,sign,4096,10KB_textfile,10240,0.004587399800000114,1.4725745181768688e-05,1122,512,2232201.344212411,0.05
RSA-PSS-SHA256,verify,4096,10KB_textfile,10240,7.960009999994356e-05,2.6799362100059223e-06,853,,128643054.46861576,
RSA-PSS-SHA256,sign,4096,50KB_binary,51200,0.004981458400000171,0.0011929319487596676,1122,512,10278114.5377021,0.01
RSA-PSS-SHA256,verify,4096,50KB_binary,51200,9.296239999994072e-05,2.578235063285524e-06,853,,550760307.3934478,
RSA-PSS-SHA256,sign,4096,100KB_image,102400,0.004592241700000344,1.7321419324312427e-05,1122,512,22298477.887170516,0.005
RSA-PSS-SHA256,verify,4096,100KB_image,102400,0.00010990019999983503,2.029522003220968e-06,853,,931754446.3081387,
RSA-PSS-SHA256,sign,4096,1MB_pdf,1048576,0.004894862499999775,1.2840479213939517e-05,1122,512,214219704.84360862,0.00048828125
RSA-PSS-SHA256,verify,4096,1MB_pdf,1048576,0.00041966279999972045,5.1975427420582835e-06,853,,2498615555.1568985,
RSA-PSS-SHA256,sign,4096,5MB_video,5242880,0.006589883399999508,0.0011928027120976636,1122,512,795595260.4564129,9.765625e-05
RSA-PSS-SHA256,verify,4096,5MB_video,5242880,0.0017631707999997913,4.9751937662378926e-05,853,,2973551966.718494,
RSA-PSS-SHA256,sign,4096,8MB_video,8388608,0.007132783200000148,3.466980663881144e-05,1122,512,1176063783.9097404,6.103515625e-05
RSA-PSS-SHA256,verify,4096,8MB_video,8388608,0.002793329099999653,1.574373474444165e-05,853,,3003086174.1285844,
